Assembly	scaffolds
# misassemblies	186
  # contig misassemblies	186
    # c. relocations	186
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	5250291
# local misassemblies	84
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	88111
# indels	1768
    # indels (<= 5 bp)	1503
    # indels (> 5 bp)	265
Indels length	19352
